Stop name,Departure delay count,Arrival delay count,Train count,Departure delay rate (%),Arrival delay rate (%),Max departure time delay,Max arrival time delay,latitude,longitude
Oberwinterthur,0,0,72,0.0,0.0,0 days 00:02:14,0 days 00:01:44,47.5079223325029,8.760389196167752
Zürich Stadelhofen,19,15,719,2.6,2.1,0 days 00:13:25,0 days 00:12:56,47.36660976671019,8.548489088449456
Othmarsingen,9,7,157,5.7,4.5,0 days 00:08:15,0 days 00:07:46,47.40743350791071,8.214805494441988
Schlieren,6,4,165,3.6,2.4,0 days 00:09:15,0 days 00:05:37,47.39917636823757,8.44724506333892
Mellingen Heitersberg,8,8,78,10.3,10.3,0 days 00:09:03,0 days 00:08:37,47.42807508777434,8.276363251209915
Zürich Altstetten,10,12,352,2.8,3.4,0 days 00:07:58,0 days 00:08:35,47.3914830730815,8.488962649961255
Dietikon,5,4,197,2.5,2.0,0 days 00:09:55,0 days 00:06:25,47.40578380656623,8.404988187894768
Wettingen,7,5,199,3.5,2.5,0 days 00:06:54,0 days 00:06:28,47.45963817592964,8.316006171449603
Glanzenberg,6,4,164,3.7,2.4,0 days 00:07:51,0 days 00:07:25,47.39887872505403,8.42044187660217
Killwangen-Spreitenbach,18,11,164,11.0,6.7,0 days 00:09:52,0 days 00:06:24,47.433328858368775,8.35421400060419
Brugg AG,5,5,382,1.3,1.3,0 days 00:10:24,0 days 00:10:45,47.48085983498152,8.208844553488955
Zürich Hardbrücke,40,17,724,5.5,2.3,0 days 00:09:34,0 days 00:08:55,47.38519789150452,8.517126201465674
Andelfingen,0,0,108,0.0,0.0,0 days 00:02:28,0 days 00:01:32,47.59376618474327,8.67800161121179
Henggart,1,0,76,1.3,0.0,0 days 00:03:06,0 days 00:02:30,47.56425724371697,8.68507523532507
Turgi,10,7,309,3.2,2.3,0 days 00:06:47,0 days 00:06:23,47.49175731953012,8.253458645708486
Winterthur,6,8,619,1.0,1.3,0 days 00:09:57,0 days 00:10:53,47.50033381046675,8.723821055408687
Hettlingen,0,0,76,0.0,0.0,0 days 00:02:17,0 days 00:02:27,47.54544144646594,8.694834153058263
